"specimen_no","specimen","year","CS","lnCS","src","CatalogNumber","DateCollected","RES_1","RES_2","RES_3","RES_4","RES_5","RES_6","RES_7","RES_8","RES_9","RES_10","RES_11","RES_12","RES_13","RES_14","RES_15","RES_16","RES_17","RES_18"
1,"'H2000-1.JPG'",2000,6.97,1.94,"reservoir",191126,2000-09-02,0.007491065,-0.000838381,-0.001075489,-0.002425169,-0.003719969,-0.002765441,-0.001800019,-0.000523701,-0.001323051,-0.003930929,-0.006315908,-0.001541241,-0.001588471,0.001655098,-0.001832163,-0.001611704,-0.001080521,0.00061734
2,"'H2000-10.JPG'",2000,4.92,1.59,"reservoir",191126,2000-09-02,-0.002411961,0.008852261,-0.004933327,0.000890759,0.000200365,-0.004550465,0.001796738,0.001348378,-0.001852355,0.000284194,-0.007734341,-0.002059692,-0.000727104,-2.43908e-05,-0.004469476,0.001782526,0.001606135,-0.001319112
3,"'H2000-11.JPG'",2000,5.53,1.71,"reservoir",191126,2000-09-02,0.00992931,0.000703954,0.021433776,-0.014360815,-0.001442516,0.012536786,-0.002454446,0.000888055,-0.003994573,-0.004779928,-0.004058811,-0.003095349,0.003364544,0.001394174,0.001210651,0.003079685,0.000610494,0.000338753
4,"'H2000-12.JPG'",2000,5.99,1.79,"reservoir",191126,2000-09-02,0.011876695,-0.009627824,-0.012399952,0.004287605,0.001697407,-0.002239606,-0.009321854,0.001113337,-0.007340949,0.000211284,0.000339542,0.0039995,-0.0002662,-0.000986196,-0.000621108,-0.002031839,0.00042798,-0.001706727
5,"'H2000-13.JPG'",2000,5.93,1.78,"reservoir",191126,2000-09-02,0.00496032,0.004498642,0.003406152,-0.002304874,-0.008162187,-0.003140934,-0.0054074,-0.000383329,-0.003439764,0.004734281,-0.002846268,-0.001536806,0.00264174,0.000909924,-0.001918295,0.001009397,0.000990796,-0.002119285
6,"'H2000-14.JPG'",2000,5.17,1.64,"reservoir",191126,2000-09-02,-0.002269783,0.005618928,0.00288031,0.011471302,-0.005458328,-0.006635295,-0.009995512,-0.000397927,-0.001414039,-0.001421046,-0.000456049,0.001436677,-0.001199646,0.002985583,0.000775892,0.003699899,-0.00156304,-0.000467443
7,"'H2000-15.JPG'",2000,5.41,1.69,"reservoir",191126,2000-09-02,0.004347587,0.002353632,0.015640172,-0.002901854,-0.006570831,0.000913852,0.000722038,0.000971321,-0.003375918,-0.004881063,-0.000577904,-0.002797293,-4.87412e-05,0.001574507,0.002038489,0.000747363,-0.000607055,0.002697017
8,"'H2000-16.JPG'",2000,5.17,1.64,"reservoir",191126,2000-09-02,-0.001821743,0.001002707,0.013160581,0.000129646,-0.010928161,-0.000156643,-0.008759675,0.004673858,0.000942545,-0.00083928,-0.001784685,-0.001299177,-0.001733543,0.002362112,0.001179285,0.00202049,0.002937423,-8.03509e-05
9,"'H2000-17.JPG'",2000,4.6,1.53,"reservoir",191126,2000-09-02,-0.005539582,0.007941518,0.007614766,0.002315071,-0.006198063,-0.003003179,-0.008786846,-0.00268299,-0.002194403,0.001691197,-0.004593089,-0.003934223,-0.005247286,-0.003191174,-0.000892967,-0.000796026,-1.85077e-05,-0.001226931
10,"'H2000-18.JPG'",2000,5.32,1.67,"reservoir",191126,2000-09-02,0.006317054,-0.001777741,0.008820071,0.000198096,0.001899684,-0.002436357,-0.005964239,-0.000118874,-0.003634217,-0.002442965,0.000565913,-0.007201197,0.005867419,0.001921034,0.000532848,-0.000534367,-0.000323229,-0.000741033
11,"'H2000-19.JPG'",2000,5.21,1.65,"reservoir",191126,2000-09-02,0.01415073,-0.000795673,0.006059633,0.00413388,-0.003315841,-0.000929436,-0.007415589,9.59759e-05,-0.003673865,-9.97801e-05,-0.002262926,-0.001006289,-0.001219099,0.002142414,-0.002543758,-0.001239286,0.000487423,-0.001754554
12,"'H2000-2.JPG'",2000,6.14,1.81,"reservoir",191126,2000-09-02,0.016815062,-0.010174897,-0.011458482,-0.017408351,-0.005351804,0.010476551,-0.000862994,-0.000422518,-0.003011019,0.004611954,0.002711945,-0.005551222,-0.003555202,0.000151359,-0.000798514,-0.001788192,0.000990515,0.002763431
13,"'H2000-20.JPG'",2000,5.75,1.75,"reservoir",191126,2000-09-02,-0.004828494,-0.006382681,-0.002949526,0.00802752,-0.004036812,-0.008566666,-0.007867355,0.005141628,-0.000297627,0.002345862,-0.001846857,-0.002392352,-0.004738545,0.000682666,0.005234995,-0.000542903,0.00184544,0.001207519
14,"'H2000-21.JPG'",2000,5.98,1.79,"reservoir",191126,2000-09-02,0.009961722,0.002742037,0.005398353,0.001666853,-0.002706858,-0.00287693,-0.000523695,0.002704673,-0.010021029,-0.005569103,4.15206e-06,0.000214455,-0.004318007,0.00080447,-0.000774804,-9.15915e-05,0.001775671,0.000130494
15,"'H2000-22.JPG'",2000,5.3,1.67,"reservoir",191126,2000-09-02,-0.000269628,-0.00119041,0.008786633,0.005996773,-0.004337712,-0.009678132,-0.006373964,0.00554175,-0.002877109,-0.00098449,0.001743358,-0.002048331,0.003940954,0.002356115,0.001821999,0.000113253,0.000729327,0.001266006
16,"'H2000-23.JPG'",2000,4.68,1.54,"reservoir",191126,2000-09-02,0.007907958,0.006545451,0.009352779,0.007956854,-0.005904713,-0.012019017,-0.001907988,0.007515923,-0.007801595,0.00035052,-0.004610567,-0.005839628,0.000883736,-0.003626306,0.00065724,0.00324249,0.001900093,2.2776e-05
17,"'H2000-24.JPG'",2000,5.08,1.63,"reservoir",191126,2000-09-02,0.016042561,-0.010351325,0.00880886,0.014517272,-0.01418718,0.011545986,-0.006424391,0.008588168,-0.003965949,-0.005460559,-0.003156108,-0.003386101,0.003260738,0.000192791,0.00230673,0.000834498,0.00027697,-0.000444274
18,"'H2000-3.JPG'",2000,6.67,1.9,"reservoir",191126,2000-09-02,-0.00396318,0.008383553,0.003155746,0.003485184,0.006711507,0.003776131,-0.002191381,-0.006094881,0.000275219,-0.004162552,-0.003626517,-0.001337717,0.001831042,-0.000200314,-0.000262633,0.00098495,-0.000659958,0.000915444
19,"'H2000-4.JPG'",2000,5.32,1.67,"reservoir",191126,2000-09-02,0.010892021,0.002145187,0.007162344,-0.002215093,0.001123244,0.008154032,-0.007451891,0.000315198,0.001860155,0.002564215,-0.001410434,-0.000624937,-0.000611655,-0.001854787,-0.001405172,0.002797788,-0.000300356,-0.00067713
20,"'H2000-5.JPG'",2000,5.29,1.67,"reservoir",191126,2000-09-02,-0.005284307,0.000837183,-0.005258551,0.000277848,0.003657701,0.0031527,0.006916447,0.003587565,-0.001373252,-0.001566924,-0.000163637,-0.009462456,0.001272843,0.002654603,-0.00033836,0.00319022,0.000461951,-0.000674426
21,"'H2000-6.JPG'",2000,5.7,1.74,"reservoir",191126,2000-09-02,0.001039903,-0.000726975,-0.003222121,0.000636222,-0.002984466,-0.011958998,-8.5083e-05,-0.000493221,-0.005750168,-0.001455942,0.00039844,-0.00358686,0.000693844,-0.001833695,0.00083832,-0.000721431,-0.001798922,0.003916282
22,"'H2000-7.JPG'",2000,5.39,1.68,"reservoir",191126,2000-09-02,0.000330275,0.002082939,-0.00202551,0.00021017,-0.022803908,-0.004368605,-0.002085187,0.002556693,-0.003178451,-0.000775009,-0.000823276,0.002474494,0.0042176,0.003099217,0.000172879,-0.003052663,-0.002227424,0.001358845
23,"'H2000-8.JPG'",2000,6.52,1.87,"reservoir",191126,2000-09-02,0.019188138,0.003759111,-0.002573497,0.001663709,-0.005851405,0.010829038,-0.004452309,0.007349844,-0.001568261,-0.006970586,-0.002655919,-0.006477564,-0.004882004,-0.002431365,-0.002932853,-0.004729603,-0.002296137,-0.001099379
24,"'H2000-9.JPG'",2000,6.26,1.83,"reservoir",191126,2000-09-02,-0.004771658,0.013176731,-0.004543009,0.009136105,-0.012924686,-0.001475999,0.001782079,0.003592311,-0.00189469,-0.006644346,-0.000385095,-0.003067548,0.004792393,0.000233258,0.001203381,0.001566528,-0.000351005,-0.00064556
25,"'H67-1.JPG'",1967,5.79,1.76,"reservoir",47455,1967-08-08,-0.008290663,0.011101293,0.000696468,0.018059581,-0.025597245,-0.008096731,-0.00262871,0.003788325,0.012881904,-0.001357993,-0.003999108,0.005786421,-0.000186004,-0.003163337,0.00350529,2.80019e-05,-0.002773873,-0.000246615
26,"'H67-2.JPG'",1967,5.51,1.71,"reservoir",47455,1967-08-08,0.01187886,0.016879884,-0.004663582,0.01477256,-0.008502712,-0.002664282,-0.001882795,-0.004355842,7.54401e-05,-0.001829023,0.001688572,0.003897282,-0.002855745,-0.006051222,0.001413971,0.001049986,-0.000511311,-6.54034e-05
27,"'H67-3.JPG'",1967,5.43,1.69,"reservoir",47455,1967-08-08,0.01340721,0.005713917,-0.001368144,0.00499755,0.005335814,0.010464524,0.006043074,0.007464541,-0.00699748,-0.005614795,-0.003134888,-0.002821126,0.001770453,0.002235509,-0.000406007,0.001390791,-0.000133805,0.000447524
28,"'H67-4.JPG'",1967,5.23,1.65,"reservoir",47455,1967-08-08,-0.006213151,0.008669265,0.003276942,0.010082229,-0.007512307,0.001555128,-0.002186136,-0.006401789,0.003990216,0.004410766,-0.001026218,-0.000658176,-0.00192057,0.002646744,0.002090946,0.000372354,-0.001294291,-0.000473307
29,"'H67-5.JPG'",1967,5,1.61,"reservoir",47455,1967-08-08,0.00233537,0.005201357,0.016856618,0.008213743,0.006834326,0.001334572,0.00184222,0.006335595,-0.009860001,-0.00226865,0.003076339,-0.003187654,-0.00363923,-0.0037933,0.000449321,0.003918697,-0.000672172,0.000202779
30,"'H67-6.JPG'",1967,5.18,1.64,"reservoir",47455,1967-08-08,0.011903054,0.002857724,0.006227923,0.011478362,0.002108492,0.011702124,0.002375797,-0.007565112,0.003679764,-0.00490145,-0.002273913,-0.002197826,-0.003258396,0.001165465,-0.000686811,-0.002954597,-0.00398018,-0.00062185
31,"'H68-1.JPG'",1968,4.52,1.51,"reservoir",53317,1968-08-01,0.006377891,0.00699428,0.003708448,0.003200886,-0.020191519,0.004255043,-0.000403996,-0.001505043,0.003138854,0.002326098,-0.001684032,0.005551334,-0.002549634,0.002260843,-0.00120105,0.003106374,-0.003317525,-0.000594245
32,"'H68-2.JPG'",1968,4.19,1.43,"reservoir",53317,1968-08-01,-0.003584592,0.011295154,0.007195972,0.015269691,-0.009402823,0.005305771,-0.000724414,-0.002992348,-0.003204302,0.00154583,-0.003644748,0.001179693,0.001362237,0.002245198,0.000646426,0.001526046,-0.003112311,0.000977095
33,"'H68-3.JPG'",1968,3.47,1.24,"reservoir",53317,1968-08-01,0.007587199,-0.002239925,-0.001009494,0.00371611,0.001404583,0.005857975,0.002147241,-0.001563183,0.001555916,1.48e-06,-0.004031281,-0.003850926,0.002397747,-7.75979e-05,-0.001785711,-0.001358678,-0.000131128,-0.000646354
34,"'H68-4.JPG'",1968,3.32,1.2,"reservoir",53317,1968-08-01,0.005753402,0.012777775,0.009303936,0.008463933,-0.018177844,0.008115971,0.002435314,-0.000822756,-0.000880007,-0.004425055,-0.002815633,0.005061216,0.001885585,-0.00366471,-0.00185658,-0.000688025,0.000297451,0.002862669
35,"'H68-5.JPG'",1968,2.95,1.08,"reservoir",53317,1968-08-01,0.008466705,0.008230045,0.007742653,0.012268835,-0.005402687,0.001286951,-0.013949302,0.002753674,-0.001667196,0.000352907,-0.000275574,-0.000967179,-0.002699241,0.000434248,0.000347751,-0.003112643,-0.001513808,-0.000428931
36,"'H69-1.JPG'",1969,8.09,2.09,"reservoir",58658,1969-08-14,-0.009523739,0.007249524,-0.002781038,0.000473818,0.000149497,-0.004479996,-0.007840173,-0.006275275,0.004148122,0.010609113,0.00814313,-0.000502596,-0.002460245,0.002291078,-0.000469482,-0.000828518,-0.00094524,0.000838587
37,"'H69-10.JPG'",1969,6.11,1.81,"reservoir",58658,1969-08-14,-0.005605535,0.006755047,0.001733571,-0.002648167,-0.004423067,0.007693212,0.001343845,-0.00049621,0.007539802,0.000446126,0.003807199,0.002980446,-0.002414875,-0.001313246,-0.000287253,0.003482569,0.002634222,0.000837575
38,"'H69-11.JPG'",1969,6.56,1.88,"reservoir",58658,1969-08-14,0.001310459,-0.010930095,-0.010117541,-0.000899338,0.004458084,0.003361339,0.002140412,-0.001733391,-0.001930129,-0.001122111,0.002734517,0.00032782,-0.001425449,0.002346206,0.000522528,0.000342505,-0.00019075,-0.001109439
